species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id|genus|family|myFert3|myFert5|myFertGen|myHeavyMet|myPlantAtRange|myPlantAtRarity|myRarityCombined|myEBergL|myEBergF|myEBergR|myEBergN|myEBergS|myPlantAtNativeStatus|myPlantAtConservationStatus|myPlantAtChangeIndex|myPlantAtHeight|myPlantAtLen|myPlantAtPern1|myPlantAtPern2|myPlantAtLife1|myPlantAtLife2|myPlantAtWood|myPlantAtClone1|myPlantAtClone2|myPlantAtMajorBiome|myPlantAtEastLim|myPlantAtCont|myPlantAtTjan|myPlantAtTjul|myPlantAtPrecip|myLocalRarity
acaena_ovalifolia|truncate||||||4||||none||mat forming||||high||2|42|||||||||||birds, mammals|||||||||0||||petiolate|||0|||||1||naturalised||||||||||||autotrophic|procumbent|15|||||||chamaephyte||||head||||none||||||||||||rooting stems, stolons|hermaphrodite||cross and self|||2||||compound|2|length > breadth|10|||||||||glabrous, soft hairs|||soft hairs|||green||||||||||||||ht < width|||2||||spines||||||||toothed|hooks||2|round|does not eat insects||||||||light, none||0.838|||||woody|||||||protogynous||||free draining||||||920002526|acaena||mixed|mixed|mixed||||||||||||||||||||||||||||
acanthus_mollis|truncate|1820|||||4|N Africa, SW Europe|||||clump|||||||56, 80|||||||||||explosive|30|||vegetative||polycarpic|2-10||3||||petiolate|8||4.25|||||||||||||||||||autotrophic||80|||||||hemicryptophyte||||spike||||none||||||1.95||||||branching root stock||||||||||simple|4|length > breadth||||||||||glabrous|||glabrous|||white||||||||||6||||ht = width|||1||||glabrous|fertile|||||||lobed|||2|pointed|does not kill insects||||||||light, none||208||||7||||||||||||free draining||||||1560010010|acanthus||||||||||||||||||||||||||||||||
acanthus_spinosus|truncate||||||4|NW Africa, SW Europe|||||clump forming|||||||112||||||||||||30|||VEGETATIVE||polycarpic|2-10||3||||petiolate|||4.25|||||||||||||||||||||80|||||||hemicryptophyte||||spike||||none||||||||||||branching root stock||||||||||simple|4|length > width||||||||||pubescent, spines|||pubescent|||white||||||||||||||height = width|||1||||pubescent|fertile|||||||lobed|||2|pointed|||||||||none, slight||||||||||150||||||||free-draining||||||1560010030|acanthus||||||||||||||||||||||||||||||||
acer_campestre|cordate|1570||deep||both|5|Asia, Europe||5-20 yrs|none|C3|no ramets|6, 6|||some non-viable|2.93|900|26||0.35||||||4|||wind||||seed|0.5|polycarpic|100-500|transient|5||600|high|petiolate|6||0.3|||0, 0, 0|380|1|insect|native|Mega- meso- and micro- phanerophyte|||<45||-5, 5, 5x|Yes|6, 6, 6|mast|Not continental|30|autotrophic|self-supporting|1500|86.5|||autumn, winter||4.08|phanerophyte||80|7, 7, 7|panicle|5, 5, 5|24|16.0|none||0||||1.38, 2.70|2.39|||||none|monoecious|epigeal|cross and self|Little or no vegetative spread|Present||||present|simple|8|length = width|||||||none|||soft hairs, soft hairs, subglabrous|||soft hairs||No|green|spring|||||||55-60|270|5|||28.8|height > width|absolute|10-100|2|1.89|||soft hairs|fertile||||39.0|||lobed and toothed|wings|20|2|pointed|does not kill insects|||||0||aestival|light, mid, none|839.0|80.8, 82.4|56|3.6|||woody||fibrous|2320||3.18|||||Temperate||||frequent||European|950010030|acer||mixed|mixed|mixed|none|1389.0|n|n|5.0|5.0|7.0|6.0|0.0|N||0.35|1500.0||p||Ph||w|0||7|3||3.6|15.7|839.0|frequent
acer_cappadocicum||1977|||||5|Asia|||||||5.5, 8.5|||||26|||||||||||wind||||||polycarpic|100-500||5||1277||petiolate|||0.35||||||||||||||||||||self supporting||||||||phanerophyte|2000|||panicle|||||||||||||||||andromonoecious|||||||||simple|8|length > breadth||||||||||glabrous|||glabrous|||green|||||||5.57||||||||||2||||glabrous|fertile|||||||lobed|wings|70|2|pointed||Europe||5.57||||aestival|light, none||84.2|||||woody|||2600||||||||well drained|glabrous|||||920007132|acer||||||||||||||||||||||||||||||||
acer_negundo||1688|||||5|North America, Central America|Austria, Hungary, France, Germany, Russia, Spain, Sweden Switzerland, Ukraine|5-20 yrs||||6, 6|||none, some|3.03||26|||||continuous, intermittent|||6|||wind|||high, low|seed||polycarpic|100-500||5|||||||0|||0, 1|3048||||||||resistant, susceptible|-5, 6||7, 7|||20|autotrophic|self-supporting|1500||||||||||7, 7|panicle|6, 6|0||||680||||1.07, 1.07||||||root buds|dioecious|||||2|||||8||||||||||20.3|||||||green|||||||||233.9||||||||2|2.5||||||||188.0||||wings||2||no|Asia, Europe, Oceania|||||||||21.5, 33, 36|||||woody|||2000||3.47||||||free, slow|||widespread|||950010150|acer||||||||||||||||||||||||||||||||dominant
acer_platanoides|cordate|1683|absolute|||lower|5|Asia, Europe|||present, mechanism unknown|C3|no ramets|6, 6||||2.73||26|1|||||||4|||||||seed||polycarpic|100-500|seedbank present, type uncertain, transient|5|increasing|1100||petiolate|5||0.4|||0, 0, 0||1|insect|naturalised|Mega- meso- and micro- phanerophyte|||||-4, 4, 4|No|6x, 7, nan||Continental|43|autotrophic|self-supporting|3000||||||3.17|phanerophyte||200|7, 7x, nan|panicle|5, 5x, nan|20|15.0|none||||||1.42|2.86||||1|none|monoecious|epigeal|obligatory cross|Little or no vegetative spread||||||simple|8|length = width|||||||none|||glabrous|||glabrous||No Data|green|spring|||||||||4||||height > width|absolute|10-100, 100-1000|2|1.46||||fertile, very fertile|||||||lobed and toothed|wings|50|2|pointed|does not kill insects|||||||aestival|light, mid, none|903.0|125.5, 155.5||3.4|||woody||||1|4.2|||||Temperate||||scattered||European|950010010|acer||outcrossing|outcrossing|generally cross|none|1467.0|||4.0|5.0|7.0|7.0|0.0|AN|||3000.0||p||Ph||w|0||7|3|c|3.4|15.2|903.0|scattered
acer_pseudoplatanus|cordate|||deep||lower|5|Asia, Europe||5-20 yrs, >20 yrs|none|C3|no ramets|5, nan|||some non-viable|2.75|1800|52||-0.4|||continuous|||4||cleistogamy not recorded|wind||||seed|0|polycarpic|100-500|transient|5|increasing, increasing|1000||petiolate|6||0.3|20-30|0.34|0, 0, 0|480|1|insect|naturalised|Mega- meso- and micro- phanerophyte|||||-4, 4, 4|No|6, 7, 7|mast|Continental|43|autotrophic|self-supporting|3000|||no persistent seedbank recorded|autumn, spring, winter||4.5|phanerophyte||200|6, 6x, nan|panicle|5, 6, 6|21|15.0|none||0||||2.4, 2.7, 4.0|3.64|||||none|monoecious|epigeal|cross and self|Little or no vegetative spread|||2-3||present|simple|8|length = width|||||||none||0.049|glabrous|||glabrous||No Data|green|spring||||||||400|4|||32.2, 33.1, 48|height > width|absolute|10-100, 100-1000|2|1.1|||glabrous|fertile|||6.4|131.0|||lobed and toothed|wings|10|2|pointed|does not kill insects|||||||aestival|deep, light, mid, none|1083.0|30.6, 96.4||3.6|||woody|||||3.73||protandrous||0.34|Temperate|free-draining|||dominant||European|950010050|acer||mixed|mixed|mixed|none|3554.0|||4.0|5.0|6.0|6.0|0.0|AN||-0.4|3000.0||p||Ph||w|0||7|3|c|3.6|14.6|1083.0|dominant
acer_saccharinum|truncate|1959||shallow|||5|||20|||||2|||2.88||52|||||||||||water, wind|||high|seed|||100-500||0||||petiolate|||0.4|||||1-10|||||||||||||||self supporting|||||winter|||||130||panicle|||||||||||||||||||cross and self|||2||||simple|8|length > breadth|140||||||||25.2|glabrous|||glabrous|||green|||||||4.5||418.8||||||||2|3.337|||glabrous|fertile|||42.5�7.5||||lobed|wings|80|2|pointed||||7||||aestival|||201, 254.8, 75.9|||||woody||fibrous|3000||3.6||||||free draining|glabrous|||||920005387|acer||mixed|mixed|mixed||||||||||||||||||||||||||||
orchis_anthropophora|cuneate|1690|none|shallow|<1||0|Africa, Europe||2-5 yrs, 5-20 yrs|none|C3|patch-forming|||0.5-1.0|||20|42||-0.76|homomorphic||intermittent|||||cleistogamy not recorded|wind||decreases|permanently low|seed and vegetative||facultatively polycarpic, polycarpic|<1||6|declining|||sheathing|7||1.2|||0||100-1000|insect|native|Non-bulbous geophyte|8|indifferent|<45|resists|7|Yes|3|irregular|Not continental||autotrophic|self-supporting|40||||summer||1.99|geophyte|Dalington, Essex|0|8|spicate raceme|4|16|16.0|none|||2-6, 6-12, 6-12||||1.19|50||||tubers|hermaphrodite||normally cross|Little or no vegetative spread|Scarce|||||simple|1|>3 times as long as wide|0-10||||||none|||||resistant|glabrous||No|green-yellow|||||1000-10000, >10000|||50-55||5||||height > width|none|1-10|0|||||infertile, very infertile|||||||entire||0|3|pointed|does not kill insects|||7.4||||vernal|light, none|690.0|0.0009233||3.6||5, 6|non-woody||adventitious|60||||homogamous|||Mediterranean-Atlantic|free-draining|||scattered||Oceanic|2030250010|orchis||mixed|normally cross|generally cross|none|||s||||||||||||||||||||||||scattered
