species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id|genus|family|myFert3|myFert5|myFertGen|myHeavyMet|myPlantAtRange|myPlantAtRarity|myRarityCombined|myEBergL|myEBergF|myEBergR|myEBergN|myEBergS|myPlantAtNativeStatus|myPlantAtConservationStatus|myPlantAtChangeIndex|myPlantAtHeight|myPlantAtLen|myPlantAtPern1|myPlantAtPern2|myPlantAtLife1|myPlantAtLife2|myPlantAtWood|myPlantAtClone1|myPlantAtClone2|myPlantAtMajorBiome|myPlantAtEastLim|myPlantAtCont|myPlantAtTjan|myPlantAtTjul|myPlantAtPrecip|myLocalRarity
ceratochloa_marginata|parallel-sided||||||0|||||||||||||||||||||||||||||||||0||||sheathing|||0||||||||||||||||||||||||||||||||||||none||||||||||||||||||||||simple|3|>3 times as long as wide||||||||||||||||green|||||||||||||||||2|||||||||||||||4|pointed||||||||||||||||non woody||fibrous|||||||||||||||920007217|ceratochloa|poaceae|||||||||||||||||||||||||||||||
ceratochloa_staminea|parallel-sided||||||0|||||||||||||||||||||||||||||||||0||||sheathing|||0||||||||||||||||||||||||||||||||||||none||||||||||||||||||||||simple|3|>3 times as long as wide||||||||||||||||green|||||||||||||||||2|||||||||||||||4|pointed||||||||||||||||non woody||fibrous|||||||||||||||920003073|ceratochloa|poaceae|||||||||||||||||||||||||||||||
ceratophyllum_demersum|parallel-sided|1660||||none|0|Africa, Asia, Europe, North America||||C3|ramets not connected|7, 7|||||20|34||0.87||nil, nil, slight, slight||||||||||||||<1|transient|8|increasing|||sessile|9||0.2|||0, 1, 1|||water|native|Perennial hydrophyte|||<45||6, 6, 7|No|7, 8, 8||Not continental|4|autotrophic||100||||||3.51|hydrophyte||0|7, 7, 8|solitary|12, 12, 12~|31|16.0|none||0||||1.38|1.95|385||||fragmenting|monoecious|||Irregularly fragmenting (mainly water plants)|Present|||||compound|17|>3 times as long as wide|||||||none|||glabrous|||glabrous|submerged|No|green||||eutrophic, eutrophic, mesotrophic||||>65||7|||45, 62.5|not applicable|||1||||spines||||4||||entire||0|1|pointed|does not kill insects|||||0|||none|770.0|||3.7|||non-woody||absent|||||protogynous|||Southern Temperate||glabrous|brackish, fresh, fresh|||Circumpolar|600010010|ceratophyllum|||||none|990.0|n|n|7.0|12.0|7.0|7.0|1.0|N||0.87||100.0|p||Hy||h|Irreg||8|6||3.7|15.8|770.0|
ceratophyllum_submersum|parallel-sided|1724|||||0|Africa, Asia, Europe||||C3||8, 8|||||20|24, 40||0.39||nil, slight||||5||||||||||<1||8||||sessile|9||0.2|||0, 2, 2|||water|native|Perennial hydrophyte|||<45||5, 5, 7|No|7, 7, 8||Not continental||autotrophic||100, fragmenting||||||3.15|hydrophyte|Chichester, Sussex|0|7, 8, 8|solitary|12, 12, 12|22|16.0|none|||||||1.7|114|||||monoecious|||Irregularly fragmenting (mainly water plants)|Present|||||compound|17|>3 times as long as wide|||||||none|||glabrous||sensitive|glabrous|submerged|No|green||||eutrophic, eutrophic, mesotrophic||||55-60||7||||not applicable|||1||||glabrous||||||||entire||0|1|pointed|does not kill insects||||||||light, mid, none, none|705.0|||3.9|||non-woody||absent||||||||Temperate||glabrous|brackish, fresh, salt-affected|||Euro-Siberian|600010020|ceratophyllum|||||none|216.0|n|n|7.0|12.0|8.0|8.0|2.0|N||0.39||100.0|p||Hy||h|Irreg||7|4||3.9|16.3|705.0|
chaenomeles_japonica|cuneate||||||5|||||||||||||||||||||||||||||||||5||||petiolate|6||2||||||insect||||||||||||||self supporting|100|||||||||5||clusters||||none|||||||||||||hermaphrodite|||||||||simple|50|longer than broad||||||||||glabrous||resists|spines|||pink||||||||||3||||ht = width|||5|||||fertile|||||||crenate||0|5|obtuse|||||||||none||40|||||woody|||||||||||free draining||||||920003335|chaenomeles||||||||||||||||||||||||||||||||
chaenomeles_speciosa|cuneate||||||5|Asia|||||||||||100|34|||||||||||||||||polycarpic|||5||||petiolate|5||2||||||insect|||||||||||||autotrophic|self supporting|200||||autumn|||phanerophyte||10||clusters||||none||||||1.2, 1.20|||||||hermaphrodite|||||||||simple|50|1-3 times as long as wide||||||||||glabrous||resists|thorns|||pink||||||||||3||||ht < width||1-10|5|||||Fertile|||||||serrate|none||5|acute|does not kill insects|Eu, N. America, India, S. Africa|||||||none||50||||4|woody|||300||||||||free draining||||||920007218|chaenomeles||||||||||||||||||||||||||||||||
chaenorhinum_minus|cuneate||||||5|Asia, Europe|||none|C3|no ramets||||||8|14|1377|-0.63|||||||||wind||||seed|||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate|10||0.7|||0|340|10-100|selfed|native|Therophyte|||||8|No|4||Not continental|1.1|autotrophic|self-supporting|25||12||autumn, summer||4.04|therophyte|||7|solitary|4|26|15.0|none||0|||||2.49||1-5 yrs||260.75|none|hermaphrodite|epigeal|normally self|Little or no vegetative spread||103||||simple|4|>3 times as long as wide||||35|||none|||glandular hairs|||glandular hairs||No Data|purple|spring||||1000-10000|||||5|||25|height = width|absolute|0.1-1|1|||||fertile, infertile, very fertile, very infertile||344.4|1.1||||entire|||1|rounded|does not kill insects|||||0||aestival|none|899.0|0.07, 0.08||3.6|||non-woody||||6||||||Temperate||||scattered||European|1540130100|chaenorhinum||mixed|normally self|generally self|none|1638.0|||8.0|4.0|7.0|4.0|0.0|AR||-0.63|25.0||a||Th||h|0||7|3||3.6|15.3|899.0|scattered
chaenorhinum_origanifolium|||||||5|||||||||||||||||||||||||||||||||5|||||||1.15||||||||||||||||||||||||||||||||solitary|||||||||||||||||||||||||||4|||||||||||||||||violet|||||||||||||||||1|||||||||||||||1||||||||||||0.0396||||||||||||||||||||||1540130010|chaenorhinum||||||||||||||||||||||||||||||||
chaerophyllum_aureum||||||both|5|||||||5, 5||||||||||||||4||||||||4.44||||5|||||||0.175|||0, 0||||||||||6, 6||8, 9||||||||||||||||7, 9|umbel|5, 5||||||||||||||||||||||||||5|||||||||||||||||white|||||||||326.7||||||||2|||||||||||||||1||||||||||||8.1||||||||||||||||||||||1290120110|chaerophyllum||||||||||||||||||||||||||||||||
chaerophyllum_hirsutum|||||||5|||||||3, 4||||||||||||||4||||||||||||5||||||||||0, 0||||||||||6, 6||7, 7||||||||||||||||6x, nan|umbel|8, 8||||||||||||||||||||||||||5|||||||||||||||||white|||||||||||||||||2|||||||||||||||1||||||||||||6.27||||||||||||||||||||||1290120070|chaerophyllum||||||||||||||||||||||||||||||||
chaerophyllum_temulum|not applicable|1633||||lower|5|Africa, Asia, Europe||||C3||6, 6|||||30|14, 22|53|-0.64||||||3|||unspecialised||||seed|0|monocarpic|<1|short-term persistent, transient|5||||petiolate|7||0.1|||0, 0, 0|365||insect|native|Hemicryptophyte|||<45||5, 5, 6|Yes|7, 8, 8||Not continental|6|autotrophic|self-supporting|100||||||4.41|hemicryptophyte|||7, 7x, nan|umbel|5, 5, 5|25|15.0|none||0|||||2.55||3-12 months||53|none|andromonoecious|||Little or no vegetative spread|Present|||||compound|5|1-3 times as long as wide|||||||none|||stiff hairs|||stiff hairs||No|white|spring, winter|||||||55-60|150|6||||height > width|absolute||2|||||fertile, very fertile|||||||lobed and toothed|||1|pointed|does not kill insects|Australasia, North America||||0||hibernal|light, none|890.0|1.88, 2.21, 2.254||3.6|||non-woody||||53|||markedly protandrous|||Temperate||||frequent||European|1290120120|chaerophyllum||outcrossing|outcrossing|generally cross|none|1791.0|n|n|6.0|5.0|7.0|7.0|0.0|N||-0.64|100.0||b||hc||h|0||7|3||3.6|15.4|890.0|frequent
chamaecyparis_lawsoniana||||||||||8||||||||2.06||||||||||||||||||||100-500|||||||||||||||||||||||||||||||||||||||||||||||||||23.05||||||||||||||||||||||||||||||||||||||||||||||||||||1.02||||||||||||||||||||||||||2.16, 3.4||||||||||3.67||||||||||||280020010|chamaecyparis||||||877.0|||5.0|5.0|6.0|4.0|0.0|AN|||4100.0||p||Ph||w|0|||||3.6|15.3|965.0|
chamaecyparis_pisifera||||||||||||||||||||22|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||20.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.63||||||||||||||||||||||920002970|chamaecyparis||||||||||||||||||||||||||||||||
chamaemelum_nobile|parallel-sided|1548|||||0|Africa, Europe||||C3|patch-forming||||||10|18||-0.92|||seasonal||||||||increases|||||<1||5||||sessile|7||0.25, 0.85|||0|466||insect|native|Hemicryptophyte|||<45||8|Yes|5||Not continental||autotrophic|decumbent, self-supporting|30||||||6.88|hemicryptophyte||0|5|capitulum|7|6|16.0|none||0||||10.65|0.82|96||||creeping stock|gynomonoecious|||Extensively creeping and rooting at nodes|Present|||||compound|5|>3 times as long as wide|||||||none|||hairy|asthma, boils, colds, coughs, sore eyes, stomach ailments, swelling, tuberculosis||hairy||No|white, yellow||||||||55-60||6||||height < width|||1|||||infertile, very infertile|||1.5||||lobed and toothed||0|2|pointed|does not kill insects||||||||none|990.0|0.12, 0.26||4.6|||non-woody||||||||||Southern Temperate|||fresh, salt-affected|frequent||Suboceanic|1690590010|chamaemelum|compositae||||none|436.0|n|n|8.0|7.0|5.0|5.0|0.0|N||-0.92|30.0||p||hc||h|Node2||8|2||4.6|15.7|990.0|frequent
chamerion_angustifolium|cuneate|1597|none|deep|>1|both, lower|4|Africa, Asia, Europe, North America||12-24 weeks, 24-52 weeks|none|C3|diffuse ramets|4, nan|||||30|36|1850|-0.01|||seasonal||10|5|||wind|13|decreases||seed and vegetative|8|polycarpic|<1|seedbank present, type uncertain, short-term persistent, transient|4|increasing|||petiolate|9||1.3|>30|1.44|0, 0, 0|975|100-1000|insect|native|Non-bulbous geophyte||sheltered|<45|wilts and recovers|6, 8, 8|No|5, 6, 8|regular|Not continental|14|autotrophic|self-supporting|120||15|no persistent seedbank recorded|summer||4.37|hemicryptophyte|Yorkshire||5, 5, 6|raceme|5, 5, 5|27|14.5|none|100-150|0|2-6|||0.7, 0.8|3.63||1-5 yrs|none, partial|120|rhizomes, root buds|hermaphrodite|epigeal|normally cross|Clones formed by suckering from roots|Present|500|>3||present|simple|8|>3 times as long as wide|10-50||day-neutral|35|||none|Hemicryptophyte|0.206|||resistant, sensitive|glabrous, soft hairs||No|pink|autumn, spring, summer, winter||||>10000||3.8|>65|250, 86|7|||90.6|height > width||10-100|1|||||fertile, very fertile||38.6|1.1||||entire|plume of hairs||4 lobed|pointed|does not kill insects|||5.6||0||aestival|light, mid, none|1075.0|0.05, 0.07, 0.25, 0.418, 0.42||3.4|||non-woody||adventitious, tap root|300|3|||markedly protandrous||1.44|Boreo-Temperate|free-draining||fresh|dominant||Circumpolar|1230050018|chamerion||mixed|normally cross|generally cross|none|3263.0|n|n|6.0|5.0|6.0|5.0|0.0|N||-0.01|150.0||p||Gn|hc|h|Root||5|6||3.4|14.5|1075.0|dominant
cornus_suecica|rounded|1601||||lower|4|Asia, Europe, North America|||none|C3|patch-forming||||||6|22||-0.42|||||||||eaten by birds, water|6||||||<1||4||||sessile|8||0.15|||0|914||insect|native|Hemicryptophyte|||50-55||6|No|2||Not continental|5|autotrophic|self-supporting|20||||autumn||3.91|hemicryptophyte||0|1|cyme, umbellate cyme|6|11|12.0|none||137|||||8.18|||||rhizomes|hermaphrodite||cross or automatic self|Rhizome far creeping|Present|||||simple|4|1-3 times as long as wide|||||||none|||glabrous, soft hairs|||glabrous, soft hairs||No|purple|spring||||||3.5|>65|89|7|||29, 34|height = width||0.1-1|1||||soft hairs|fertile, infertile|||||||entire||0|1|pointed|does not kill insects|||4.1|||||none|1853.0|12.986, 8.5||0.9|||non-woody|||30||||protandrous|||Boreo-Arctic Montane||||frequent||European|1270010050|cornus||mixed|mixed|mixed|none|218.0|n|n|6.0|6.0|1.0|2.0|0.0|N||-0.42|20.0||p||hc||h|Rhiz2||2|3||0.9|11.6|1853.0|frequent
matricaria_recutita|parallel-sided|1632|||||0|Asia, Europe||6-12 weeks||C3|no ramets||||||15|18|6542|0.92|||||||||||||seed|||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|increasing|||sessile|8||0.65|||0|||insect|native|Therophyte|||||7|No|7||Not continental|2|autotrophic|self-supporting|60|||2820|summer||3.99|therophyte|Hampstead, London|0|7|capitulum|5|29|15.5|none||0||||7.8|2.27|||absolute|974|none||||Little or no vegetative spread||||||compound|5|1-3 times as long as wide|||||||none||||||glabrous||No Data|white, yellow|autumn, spring, summer||||>10000|||||6||||height = width|||1|||||fertile, very fertile|||1.5||||lobed||0|2|pointed|does not kill insects|Australasia, North America||||0|||none|868.0|0.04, 0.06||3.7|||non-woody||||6||||||Southern Temperate||||||European|1690610018|matricaria|compositae||||none|1650.0|||7.0|5.0|7.0|7.0|0.0|AR||0.92|60.0||a||Th||h|0||8|3||3.7|15.5|868.0|
matricaria_discoidea|parallel-sided|1871||||both|0|Asia||6-12 weeks|none|C3|no ramets|5, 5|||||5|18|51747|-0.49||||||3|||man, rainwash, unspecialised||||seed|21||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|4|increasing, increasing|||sessile|7||0.12||1.17|0, 0, 1|530|100-1000|insect|naturalised|Therophyte|||||7, 8, 8|No|7, 7, 8||Not continental||autotrophic|self-supporting|30||11||summer||4.52|therophyte||0|6, 7, 7|capitulum|5, 5, 5||14.5|none||||||4.6, 4.9|3.73|||absolute, none|4044|none|hermaphrodite|epigeal|normally self|Little or no vegetative spread||450||||compound|5|1-3 times as long as wide|||long-day|23|||none||0.144, 0.167||boils||glabrous||No Data|yellow|autumn, spring, summer||||1000-10000||||122|6|||25|height = width||0.1-1|1|||||fertile, very fertile||154|1.2|||1192|lobed|pappus|0|2|pointed|does not kill insects|Australasia, Europe, North America, South America||||||aestival|none|1086.0|0.08, 0.08, 0.1353, 0.145||3.6|||non-woody|||40|20|||||1.17|Mediterranean|||brackish|frequent||Hyperoceanic|1690610038|matricaria|compositae|mixed|normally self|generally self|none|3636.0|||7.0|5.0|7.0|7.0|0.0|AN||-0.49|35.0||a||Th||h|0|||||3.6|14.5|1086.0|frequent
chasmanthe_bicolor|||||||0|||||||||||||||||||||||||||||||||6|||||||2.75||||||||||||||||||||||||||||||||spike|||||||||||||||||||||||||||3|||||||||||||||||orange|||||||||||||||||3|||||||||||||||3||||||||||||||||||||||||||||||||||920007221|chasmanthe||||||||||||||||||||||||||||||||
erysimum_cheiri|cuneate|1548|none||||4|Europe|||none|C3|no ramets|7, 8|||||20|14||1.05||||||4|||wind||||seed|||||4|increasing|||petiolate, sessile|6||2.25|||0, 0, 1|||insect|naturalised|Chamaephyte|||||8, 8, 8|No|5, 6, 6||Not continental|3|autotrophic|self-supporting|60||||||4.88|chamaephyte|||8, 8, 9|raceme|4, 5, 5||16.0|none||||||0.52|1.89|||||none|hermaphrodite||cross or automatic self|Little or no vegetative spread||||||simple|6|1-3 times as long as wide|||long-day||||none|Nanophanerophyte||stiff hairs|||dense hairs, glabrous||No Data|yellow|spring|||||||||4||||height > width|||1|||||fertile, infertile|||3||||entire||0|2|pointed|does not kill insects|||||||evergreen|none|848.0|||4.0|||woody at base|||||||homogamous, protogynous|||Mediterranean||||||Hyperoceanic|680260010|erysimum|brassicaceae|mixed|mixed|mixed|none|1012.0|||8.0|4.0|8.0|5.0|1.0|AR||1.05|60.0||p||Ch|Pn|sw|0|||||4.0|15.6|848.0|
chelidonium_majus|cuneate|1548|||||2|Asia, Europe||||C3||6, 6|||||30|12|2188|-0.72||||||||pseudo-cleistogamous|ants|||||||<1|long-term persistent, short-term persistent|4||||petiolate|8||2|||0, 0, 0||10-100|insect|native|Hemicryptophyte|||||6, 6, 6|No|7, 8, 8||Not continental|1.5|autotrophic|self-supporting|90||||||4.45|hemicryptophyte|||7x, 8, nan|umbel|5, 5, 5|29|15.0|none||||||2.4|2.4||||1207.5||hermaphrodite|||Little or no vegetative spread||||||compound|numerous|1-3 times as long as wide|||||||none|||glabrous|cancer, cataracts, eczema, warts||hairy||No Data|yellow|autumn|||||||||5|||31|height > width|absolute||1|||||fertile, very fertile|||1.5||||lobed and toothed|elaiosome||2|rounded|does not kill insects|||||||evergreen|light, none|905.0|0.7, 0.72||3.7|||non-woody||||17|||homogamous|||Temperate||||||Eurasian|660060010|chelidonium|papaveraceae|selfing|selfing|generally self|none|1891.0|||6.0|5.0|8.0|7.0|0.0|AR||-0.72|90.0||p||hc||h|0||7|5||3.7|15.3|905.0|
chenopodium_album|cuneate|1629|absolute, partial|shallow||both|0|Africa, Asia, Europe, Macaronesia||<6 weeks|none|C3|no ramets|5x, nan|||||10|15, 36, 54|54906||||||||||unspecialised|2|||seed|93.2||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|3|declining||||10|none, partial|0.3||1.25|0, 1, 1|460||wind|native|Therophyte|||<45|resists|7, 7, nan|No|7, 7, 7||Not continental|1.6|autotrophic|self-supporting|100||8||autumn, summer||4.56|therophyte|||6x, 7, nan|cyme|4, 5, 5|31|15.0|none|<100|0||||1.53, 3.26, 3.8, 4.65|3.09||>20 yrs|none, partial|2357|none|gynomonoecious, hermaphrodite|epigeal|cross and self|Little or no vegetative spread|Present|||||simple|2|1-3 times as long as wide|||long-day|36|||none||0.303|soft hairs|rheumatism|sensitive|soft hairs||No|green|spring, summer||||1000-10000|||>65|123.33|7|||25.8, 26.9|height > width|partial|1-10|2||sensitive|||fertile|||1.6|||400|toothed|||2|pointed|does not kill insects|Australasia, North America, South America||||0||aestival|none|1018.0|0.6, 0.77, 1.2, 1.5|0.6|3.7|||non-woody|||300|8|||entirely protogynous, homogamous||2.12|Wide Temperate|free-draining|||frequent||Eurasian|480030210|chenopodium||mixed|mixed|mixed|none|3136.0|n|n|7.0|5.0|7.0|7.0|1.0|N|||100.0||a||Th||h|0||6|5||3.7|14.8|1018.0|frequent
chenopodium_ambrosioides||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||100|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.343, 0.8||||||||||||||||||||||480030041|chenopodium||||||||||||||||||||||||||||||||
chenopodium_berlandieri|||||||0|||||||||||||||||||||||||||||||||3|||||||0.3||||||||||||||||||||||||||||||||cyme||||||||||2.97|||||||||||||||||2|||||||||||||||||green|||||||||||||||||2|||||||||||||||2||||||||||||1.068||||||||||||||||||||||920000483|chenopodium||||||||||||||||||||||||||||||||
chenopodium_bonus_henricus|truncate|1570|none|||both|0|Asia, Europe||||C3||5, nan|||||30|36||-1.79||||||2|||unspecialised|||||67||<1||3|declining|||petiolate|7||0.3|||0, 0, 1|||wind|native|Hemicryptophyte|||||8, 8, 8|No|8, 9, 9||Not continental|2.2|autotrophic|self-supporting|50||||||3.56|hemicryptophyte|||7, 7x, nan|cyme|5, 5, 5|22|15.0|none||0|||||3.02||||||gynomonoecious||normally cross|Little or no vegetative spread||||||simple|2|1-3 times as long as wide|||||||none|||soft hairs|||soft hairs||No Data|green|||||||||100|5||||height > width||10-100|2|||||fertile, very fertile|||2.2||||entire|||2|pointed, rounded|does not kill insects|North America||||0||aestival|none|883.0|1.81, 1.91||3.4|||non-woody|||80||||entirely protogynous|||Boreo-Temperate||||||European|480030060|chenopodium||mixed|normally cross|generally cross|none|1445.0|||8.0|5.0|7.0|8.0|0.0|AR||-1.79|50.0||p||hc||h|0||5|3||3.4|15.2|883.0|
chenopodium_chenopodioides|truncate|1811|||||0|Europe||||C3|no ramets|6, 7|||||5|||-0.17|||seasonal|||7|||||||seed|||<1||3|fluctuating||||9||0.3|||1, 3, 4|||wind|native|Therophyte|||<45||8, 8, 9|No|8, 9, 9||Not continental|0.9|autotrophic|decumbent, self-supporting|30||||||1.95|therophyte|Yarmouth||7, 7, 8|cyme|7, 7, 7|17|17.0|none||0|||||1.01|12||none||none|gynomonoecious|||Little or no vegetative spread|Scarce|||||simple|2|length = width|||||||none|||glabrous, thick cuticle|||glabrous||No|green|spring|||||||55-60||7||||height = width|||2|||||infertile|||0.9||||entire, toothed|||2|rounded|does not kill insects|||||0|||none|612.0|0.201||4.2|||non-woody||||||||||Temperate|||brackish, saline|scattered||Euro-Siberian|480030110|chenopodium|||||none|41.0|s|s|8.0|7.0|7.0|8.0|4.0|N||-0.17|30.0||a||Th||h|0||7|4||4.2|16.7|612.0|scattered
chenopodium_bushianum|||||||0|||||||||||||||||||||||||||||||||3|||||||0.3||||||||||||||||||||||||||||||||cyme||||||||||3.18|||||||||||||||||2|||||||||||||||||green|||||||||||||||||2|||||||||||||||2||||||||||||0.0756, 1.45||||||||||||||||||||||920007992|chenopodium||||||||||||||||||||||||||||||||
chenopodium_capitatum|||||||0|||||||||||||||||||||||||||||||||3|||||||0.3|||||||||||||||||||||60|||||||||||cyme|||||||||||||||||||||||||||2|||||||||||||||||green|||||||||||||||||2|||||||||||||||2||||||||||||0.24, 0.254||||||||||||||||||||||920000486|chenopodium||||||||||||||||||||||||||||||||
dysphania_cristata|||||||0|||||||||||||||||||||||||||||||1||5|||||||0.185|||||||||||||||||||||40||||||||||||||||||||||||||||||||||||||1|||||||||||||||||white|||||||||||||||||1|||||||||||||||2||||||||||||0.099, 0.362, 0.512||||||||||||||||||||||920007994|dysphania||||||||||||||||||||||||||||||||
chenopodium_pratericola|||||||0|||||||||||||||||||||||||||||||||3|||||||0.3||||||||||||||||||||||||||||||||cyme|||||||||||||||||||||||||||2|||||||||||||||||green|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||920000494|chenopodium||||||||||||||||||||||||||||||||
chenopodium_ficifolium|cuneate, truncate|1713||||both|0|Africa, Asia, Europe||||C3|no ramets|7, 7|||||30|18||1.9||||||7|||||||seed|39||<1|long-term persistent|3|||||9|partial|0.3|||0, 0, 1|||wind|native|Therophyte|||||7, 7, 7|No|7, 7, 9||Not continental|1.2|autotrophic|decumbent, self-supporting|90||||||2.4|therophyte|London||6, 7x, nan|cyme|6, 6, 6|18|16.0|developmental||0||||1.33|1.62|||partial||none|gynomonoecious|||Little or no vegetative spread||||||simple|2|length = width|||||||none|||soft hairs|||soft hairs||No Data|green|autumn, spring, summer||||||||63|7||||height = width|partial||2|||||fertile, very fertile|||1.2||||lobed and toothed|||2|pointed, rounded|does not kill insects|||||0|||none|745.0|0.369, 0.61||3.9|||non-woody|||||||markedly protogynous|||Temperate||||||Euro-Siberian|480030170|chenopodium||outcrossing|outcrossing|generally cross|none|763.0|||7.0|6.0|6.0|7.0|0.0|AR||1.9|90.0||a||Th||h|0||7|4||3.9|16.1|745.0|
chenopodium_giganteum|||||||0|||||||||||||54||||||||||||||||||||3|||||||0.3||||||||||||||||||||||||||||||||cyme||||||||||4.39|||||||||||||||||2|||||||||||||||||green|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||480030250|chenopodium||||||||||||||||||||||||||||||||
