year,reference,family,genus,species,m.d.g,latitude,hemisphere,biome,growth,life.history,si,mean.tm,References
1989,"Rink, G., E. R. Carroll, and F. H. King. 1989. Estimation of Juglans nigra L. mating system parameters. Forest Science 35:623_627.",Juglandaceae,Juglans,nigra,D,37.8,N,6,4,4,1,0.905,"Rink, G., E. R. Carroll, and F. H. King. 1989. Estimation of Juglans nigra L. mating system parameters. Forest Science 35:623_627."
2009,Merotto ETAL 2009,Cyperaceae,Cyperus,difformis,M,38.85,N,3,1,1,,0.019,
1995,"Mandal A. K., and R. A. Ennos. 1995. Mating system analysis in a natural population of Acacia nilotica subspecies kraussiana. Forest Ecology and Management 79:235_240",Fabaceae,Acacia,nilotica_kraussiana,D,14.32,S,5,4,4,0,0.983,"Mandal A. K., and R. A. Ennos. 1995. Mating system analysis in a natural population of Acacia nilotica subspecies kraussiana. Forest Ecology and Management 79:235_240"
1994,"Mandal A. K., R. A. Ennos, C. W. Fagg. 1994. Mating system analysis in a natural population of Acacia nilotica subspecies leiocarpa. Theor Appl Genet 89(7_8):931_935",Fabaceae,Acacia,nilotica_leiocarpa,D,3.18,S,5,4,4,,0.384,"Mandal A. K., R. A. Ennos, C. W. Fagg. 1994. Mating system analysis in a natural population of Acacia nilotica subspecies leiocarpa. Theor Appl Genet 89(7_8):931_935"
1992,"Fritsch, P., and L. H. Rieseberg. 1992. High outcrossing rates maintain male and hermaphrodite individuals in populations of the flowering plant Datisca glomerata. Nature 359:633_636.",Datiscaceae,Datisca,glomerata,D,31.33,N,3,1,4,1,0.785,"Fritsch, P., and L. H. Rieseberg. 1992. High outcrossing rates maintain male and hermaphrodite individuals in populations of the flowering plant Datisca glomerata. Nature 359:633_636."
1994,"Alvarez_Buylla ER, AA Garay. 1994. Population genetic structure of Cecropia obtusifolia, a tropical pioneer tree species. Evolution 48:437_453",Moraceae,Cecropia,obtusifolia,D,18.46,N,8,4,4,1,0.974,"Alvarez_Buylla ER, AA Garay. 1994. Population genetic structure of Cecropia obtusifolia, a tropical pioneer tree species. Evolution 48:437_453; Alvarez-Buylla, E. R. and M. Martinez-Ramos. 1992. Demography and Allometry of Cecropia Obtusifolia, a neotropical pioneer tree - an evaluation of the climax-pioneer paradigm for tropical rain forests. Journal of Ecology, 80: 275-290."
1999,"Ge, X. J., and M. Sun. 1999. Reproductive biology and genetic diversity of a cryptoviviparous mangrove Aegiceras corniculatum (Myrsinaceae) using allozyme and intersimple sequence repeat (ISSR) analysis. Molecular Ecology 8:2061_2069.",Primulaceae,Aegiceras,corniculatum,D,22.25,N,,3,4,1,0.653,"Ge, X. J., and M. Sun. 1999. Reproductive biology and genetic diversity of a cryptoviviparous mangrove Aegiceras corniculatum (Myrsinaceae) using allozyme and intersimple sequence repeat (ISSR) analysis. Molecular Ecology 8:2061_2069."
1989,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1_2):77_90.",Brassicaceae,Capsella,rubella,D,,N,,1,1,1,0,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1_2):77_90."
2005,"Garcia et al. 2005. Mating patterns, pollen dispersal, and the ecological maternal neighbourhood in a Prunus mahaleb L. population . MOLECULAR ECOLOGY 14 (6): 1821_1830 ",Rosaceae,Prunus ,mahaleb,D,37.98,N,3,3,4,,1.01,"Garcia et al. 2005. Mating patterns, pollen dispersal, and the ecological maternal neighbourhood in a Prunus mahaleb L. population . MOLECULAR ECOLOGY 14 (6): 1821_1830; Guitian, J. 1994. Selective fruit abortion in Prunus mahaleb (Rosaceae). AJB, 81: 1555-1558. "
2005,"Garcia et al. 2005. Mating patterns, pollen dispersal, and the ecological maternal neighbourhood in a Prunus mahaleb L. population . MOLECULAR ECOLOGY 14 (6): 1821_1831",Rosaceae,Prunus ,mahaleb,D,37.98,N,3,3,4,,0.45,"Garcia et al. 2005. Mating patterns, pollen dispersal, and the ecological maternal neighbourhood in a Prunus mahaleb L. population . MOLECULAR ECOLOGY 14 (6): 1821_1831"
