year,reference,family,genus,species,m.d.g,latitude,hemisphere,biome,growth,life.history,si,mean.tm,References
2005,Carromero and Hamrick 2005. The mating system of Verbascum thapsus (Scrophulariaceae): The effect of plant height. INTERNATIONAL JOURNAL OF PLANT SCIENCES 166 (6): 979_983 ,Scrophulariaceae,Verbascum,thapsus,D,34.41,N,6,1,2,1,0.71,Carromero and Hamrick 2005. The mating system of Verbascum thapsus (Scrophulariaceae): The effect of plant height. INTERNATIONAL JOURNAL OF PLANT SCIENCES 166 (6): 979_983; Gross K. L. and P. A. Werner. 1978. The biology of canadian weeds. 28. Verbascum thapsus L. and V. Blattaria L. Can. J. Plant Sci. 58: 401-413. 
2004,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58_64.",Fabaceae,Acacia,macracantha,D,25.77,S,2,3,4,0,0.988,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58_64."
2004,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58_64.",Fabaceae,Acacia,aroma,D,26.35,S,2,3,4,0,0.969,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58_64."
1995,"Boshier, D. H., M. R. Chase, and K. S. Bawa. 1995. Population_Genetics of Cordia_Alliodora (Boraginaceae), a Neotropical Tree .2. Mating System. American Journal of Botany 82:476_483.",Boraginaceae,Cordia,alliodora,D,9.95,N,8,4,4,0,0.966,"Boshier, D. H., M. R. Chase, and K. S. Bawa. 1995. Population_Genetics of Cordia_Alliodora (Boraginaceae), a Neotropical Tree .2. Mating System. American Journal of Botany 82:476_483."
2007,"Nasser et al. 2007. Reproductive biology and mating system estimates of two Andean melocacti, Melocactus schatzlii and M_andinus. ANNALS OF BOTANY 99 (1): 29_38  (Cactaceae)",Cactaceae,Melocactus,andinus,D,9.05,N,,3,4,1,0.4,"Nasser et al. 2007. Reproductive biology and mating system estimates of two Andean melocacti, Melocactus schatzlii and M_andinus. ANNALS OF BOTANY 99 (1): 29_38  (Cactaceae)"
2007,NassarETAL2007,Cactaceae,Melocactus,andinus,D,9.5,N,1,3,4,1,0.55,
2007,"Nasser et al. 2007. Reproductive biology and mating system estimates of two Andean melocacti, Melocactus schatzlii and M_andinus. ANNALS OF BOTANY 99 (1): 29_38  (Cactaceae)",Cactaceae,Melocactus,schatzlii,D,8.5,N,,3,4,1,0.9,"Nasser et al. 2007. Reproductive biology and mating system estimates of two Andean melocacti, Melocactus schatzlii and M_andinus. ANNALS OF BOTANY 99 (1): 29_38  (Cactaceae)"
2007,NassarETAL2007,Cactaceae,Melocactus,schatzlii,D,8.5,N,1,3,4,1,0.91,
1988,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217_223",Proteaceae,Banksia,paludosa,D,34.58,S,6,3,4,,0.8,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217_223; Copland, B. J. 1987. Flowering phenologies and reproductive success of co-occurring Banksia species. University of Wollongong Thesis collection"
2005,"Medrano et al. 2005. Mating system, sex ratio, and persistence of females in the gynodioecious shrub Daphne laureola L. (Thymelaeaceae). HEREDITY 94 (1): 37_43 ",Thymelaeaceae,Daphne,laureola,D,37.9,N,3,3,4,1,0.015,"Medrano et al. 2005. Mating system, sex ratio, and persistence of females in the gynodioecious shrub Daphne laureola L. (Thymelaeaceae). HEREDITY 94 (1): 37_43 "
2005,"Medrano et al. 2005. Mating system, sex ratio, and persistence of females in the gynodioecious shrub Daphne laureola L. (Thymelaeaceae). HEREDITY 94 (1): 37_43 ",Thymelaeaceae,Daphne,laureola,D,37.9,N,3,3,4,1,0.957,"Medrano et al. 2005. Mating system, sex ratio, and persistence of females in the gynodioecious shrub Daphne laureola L. (Thymelaeaceae). HEREDITY 94 (1): 37_44"
2007,MathiasenETAL 2007,Proteaceae,Embothrium,coccineum,D,41.93,S,6,4,4,0,0.898,
2007,"Mathiasen et al. 2007. Genetic structure and early effects of inbreeding in fragmented temperate forests of a self_incompatible tree, Embothrium coccineum CONSERVATION BIOLOGY 21 (1): 232_240 ",Proteaceae,Embothrium,coccineum,D,41.93,S,6,4,4,0,0.898,"Mathiasen et al. 2007. Genetic structure and early effects of inbreeding in fragmented temperate forests of a self_incompatible tree, Embothrium coccineum CONSERVATION BIOLOGY 21 (1): 232_240 "
1977,"Ganders FR, Carey K, AJF Griffiths. 1977a. Outcrossing rates in natural populations of Plectritis brachystemon (Valerianaceae). Can J Bot 55:2070_2074",Valerianaceae,Plectritis,brachystemon,D,49,N,6,1,1,1,0.02,"Ganders FR, Carey K, AJF Griffiths. 1977a. Outcrossing rates in natural populations of Plectritis brachystemon (Valerianaceae). Can J Bot 55:2070_2074"
2011,Friedman and Barrett 2011,Cyperaceae,Carex,laxiflora,M,44.05,N,6,1,4,1,0.09,
2007,Coates et al. 2007. Plant mating systems and assessing population persistence in fragmented landscapes. Australian Journal of Botany 55 (3): 239_251,Proteaceae,Banksia ,oligantha,D,33.3,S,1,3,4,1,0.95,Coates et al. 2007. Plant mating systems and assessing population persistence in fragmented landscapes. Australian Journal of Botany 55 (3): 239_251
1994,"Sampson JF, Collins BG, DJ Coates. 1994. Mixed mating in Banksia brownii Baxter ex R. Br. (Proteaceae). Aust. J of Bot. 42: 103_111",Proteaceae,Banksia,brownii,D,35,S,3,3,4,,0.715,"Sampson JF, Collins BG, DJ Coates. 1994. Mixed mating in Banksia brownii Baxter ex R. Br. (Proteaceae). Aust. J of Bot. 42: 103_111; Day, D. A., B. G. Collins and R. G. Rees. 1997. Reproductive biology of the rare and endangered Banksia brownii Baxter ex R. Br. (Proteaceae). Australian Journal of Ecology, 22: 307-315"
2004,"Kenta, T., Y. Isagi, M. Nakagawa, M. Yamashita, and T. Nakashizuka. 2004. Variation in pollen dispersal between years with different pollination conditions in a tropical emergent tree. Molecular Ecology 13:3575_3584.",Dipterocarpaceae,Dipterocarpus,tempehes,D,4.33,S,8,1,4,0,0.945,"Kenta, T., Y. Isagi, M. Nakagawa, M. Yamashita, and T. Nakashizuka. 2004. Variation in pollen dispersal between years with different pollination conditions in a tropical emergent tree. Molecular Ecology 13:3575_3584.; Kettle, C. J, C. R. Maycock, J. Ghazoul, P. M. Hollingsworth, E. Khoo, R. S. H. Sukri, and D. F. R. P. Burslem. 2011. Ecological implications of a flower size/number trade-off in tropical forest trees. PLoS One, 6: e16111."
2011,Friedman and Barrett 2011,Cyperaceae,Carex,scabrata,M,44.05,N,6,1,4,1,0.03,
1988,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217_223",Proteaceae,Banksia,spinulosa,D,34.58,S,6,3,4,,0.898,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217_223"
2010,AyreETAL2010,Proteaceae,Banksia,spinulosa,D,35.53,S,3,3,4,1,1,
1989,"Abbott RJ, MF Gomes. 1989. Population genetic structure and outcrossing rate of Arabidopsis thaliana (L.) Heynh. Heredity 62:411_418",Brassicaceae,Arabidopsis,thaliana,D,55,N,6,1,1,1,0.0028,"Abbott RJ, MF Gomes. 1989. Population genetic structure and outcrossing rate of Arabidopsis thaliana (L.) Heynh. Heredity 62:411_418"
1992,"Coates DJ, RES Sokolowski. 1992. The mating system and patterns of genetic variation in Banksia cuneata AS George (Proteaceae). Heredity 69:11_20",Proteaceae,Banksia ,cuneata,D,32.5,S,3,3,4,1,0.815,"Coates DJ, RES Sokolowski. 1992. The mating system and patterns of genetic variation in Banksia cuneata AS George (Proteaceae). Heredity 69:11_20"
2007,Coates et al. 2007. Plant mating systems and assessing population persistence in fragmented landscapes. Australian Journal of Botany 55 (3): 239_250,Proteaceae,Banksia ,cuneata,D,31.37,S,1,3,4,1,0.838,Coates et al. 2007. Plant mating systems and assessing population persistence in fragmented landscapes. Australian Journal of Botany 55 (3): 239_250
2011,Friedman and Barrett 2011,Cyperaceae,Carex,plantaginea,M,44.05,N,6,1,4,1,0.39,
1980,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53_59,Proteaceae,Banksia,attenuata,D,32.1,S,3,3,4,,1.1,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53_59
1993,"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125_135",Begoniaceae,Begonia,hirsuta,D,9.45,N,8,1,1,1,0.03,"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125_135"
1989,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1_2):77_90.",Brassicaceae,Capsella,bursa_pastoris,D,,N,,1,1,1,0.07,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1_2):77_90."
2002,"Ishida K, T Hiura. 2002. Mating system and population genetic structure of an androdioecious tree, Fraxinus lanuginosa in northern Japan. Heredity 88:296_301",Oleaceae,Fraxinus,lanuginosa,D,42.67,N,6,4,4,0,0.86,"Ishida K, T Hiura. 2002. Mating system and population genetic structure of an androdioecious tree, Fraxinus lanuginosa in northern Japan. Heredity 88:296_301; Ishida, K. and T. Hirra. 1998. Fertility and flowering phenology in an androdioecious tree, Fraxinus lanuginosa (Oleaceae), in Hokkaido, Japan. International Journal of Plant Sciences, 159: 941-947."
1989,"Moran, G. F., O. Muona, and J. C. Bell. 1989. Breeding systems and genetic diversity in Acacia auriculiformis and A. crassicarpa. Biotropica 21:250_256.",Fabaceae,Acacia,auriculiformis,D,11.5,S,5,4,4,0,0.925,"Moran, G. F., O. Muona, and J. C. Bell. 1989. Breeding systems and genetic diversity in Acacia auriculiformis and A. crassicarpa. Biotropica 21:250_256."
1993,"Khasa, P. D., W. M. Cheliak, and J. Bousquet. 1993. Mating system of Racosperma auriculiforme in a seed production area in Zaire. Canadian Journal of Botany 71:779_785.",Fabaceae,Acacia,auriculiformis,D,,S,,4,4,0,0.961,"Khasa, P. D., W. M. Cheliak, and J. Bousquet. 1993. Mating system of Racosperma auriculiforme in a seed production area in Zaire. Canadian Journal of Botany 71:779_785."
2001,"Neel, M. C., J. Ross_Ibarra, and N. C. Ellstrand. 2001. Implications of mating patterns for conserrvation of the endangered plant Eriogonum ovalifolium_vineum (Polygonaceae). American Journal of Botany 88:1214_1222.",Polygonaceae,Eriogonum,ovalifolium_vineum,D,34.27,N,3,3,4,,0.8,"Neel, M. C., J. Ross_Ibarra, and N. C. Ellstrand. 2001. Implications of mating patterns for conserrvation of the endangered plant Eriogonum ovalifolium_vineum (Polygonaceae). American Journal of Botany 88:1214_1222."
1997,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.,Boraginaceae,Amsinckia,vernicosa,D,33.63,N,3,1,1,1,0.001,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.
1992,"Kiang YT, Chiang YC, N Kaizuma. 1992. Genetic diversity in natural populations of wild soybean in Iwate Prefecture, Japan. J. of Heredity 83:325_329",Fabaceae,Glycine,soja,D,39.58,N,6,2,1,1,0.023,"Kiang YT, Chiang YC, N Kaizuma. 1992. Genetic diversity in natural populations of wild soybean in Iwate Prefecture, Japan. J. of Heredity 83:325_329"
1997,"Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross_pollination in wild soybean (Glycine soja). J of Heredity 88:124_128",Fabaceae,Glycine,soja,D,39.24,N,6,2,1,1,0.13,"Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross_pollination in wild soybean (Glycine soja). J of Heredity 88:124_128"
2009,Zhao ETAL 2009,Fabaceae,Glycine,soja,D,35.05,N,6,1,1,1,0.149,
2000,Goodwillie C. 2000. Inbreeding depression and mating systems in two species of Linanthus (Polemoniaceae),Polemoniaceae,Leptosiphon,bicolor,D,38.6,N,3,1,1,1,0.038,Goodwillie C. 2000. Inbreeding depression and mating systems in two species of Linanthus (Polemoniaceae)
2009,ChenETAL 2009,Fabaceae,Ammopiptanthus,mongolicus,D,39.05,N,1,3,4,1,0.697,
1977,"Ganders FR, Carey K, AJF Griffiths. 1977b. Natural selection for a fruit dimorphism in Plectritis congesta (Valerianaceae). Evolution 31:873_881",Valerianaceae,Plectritis,congesta,D,49.12,N,6,1,1,1,0.661,"Ganders FR, Carey K, AJF Griffiths. 1977b. Natural selection for a fruit dimorphism in Plectritis congesta (Valerianaceae). Evolution 31:873_881"
1992,"Butcher PA, Bell JC, GF Moran. 1992. Patterns of genetic diversity and nature of the breeding system in Melaleuca alternifolia (Myrtaceae). Aust J Bot 40:365_375",Myrtaceae,Melaleuca,alternifolia,D,29.2,S,8,4,4,,0.935,"Butcher PA, Bell JC, GF Moran. 1992. Patterns of genetic diversity and nature of the breeding system in Melaleuca alternifolia (Myrtaceae). Aust J Bot 40:365_375"
1997,"Pascarella, J. B. 1997. The mating system of the tropical understory shrub Ardisia escallonioides (Myrsinaceae). American Journal of Botany 87:456_460.",Primulaceae,Ardisia,escallonioides,D,25.4,N,8,3,4,1,0.63,"Pascarella, J. B. 1997. The mating system of the tropical understory shrub Ardisia eascalloniodes (Myrsinaceae). American Journal of Botany 87:456_460."
1998,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594.",Meliaceae,Cedrela,odorata,D,10.75,N,7,4,4,,0.969,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594."
2002,"Lee, S. L., K. K. S. Ng, L. G. Saw, A. Norwati, M. H. S. Salwana, C. T. Lee, and M. Norwati. 2002. Population genetics of Intsia palembanica (Leguminosae) and genetic conservation of virgin jungle reserves in peninsular Malaysia. American Journal of Botany 89:447_459.",Fabaceae,Intsia,palembanica,D,4.51,S,8,4,4,1,0.766,"Lee, S. L., K. K. S. Ng, L. G. Saw, A. Norwati, M. H. S. Salwana, C. T. Lee, and M. Norwati. 2002. Population genetics of Intsia palembanica (Leguminosae) and genetic conservation of virgin jungle reserves in peninsular Malaysia. American Journal of Botany 89:447_459."
2001,"Bonnin, I., J. Ronfort, F. Wozniak, and I. Olivieri. 2001. Spatial effects and rare outcrossing events in Medicago truncatula (Fabaceae)",Fabaceae,Medicago,truncatula,D,42.83,N,3,1,1,1,0.037,"Bonnin, I., J. Ronfort, F. Wozniak, and I. Olivieri. 2001. Spatial effects and rare outcrossing events in Medicago truncatula (Fabaceae)"
1977,"Valdeyron G, Dommee B, P Vernet. 1977. Self_fertilisation in male_fertile plants of a gynodioecious species: Thymus vulgaris L.. Heredity 39(2):243_249",Lamiaceae,Thymus,vulgaris,D,43,N,2,1,4,1,0.675,"Valdeyron G, Dommee B, P Vernet. 1977. Self_fertilisation in male_fertile plants of a gynodioecious species: Thymus vulgaris L.. Heredity 39(2):243_249"
1978,"Assouad, M. W., B. Domm_e, R. Lumaret, and G. Valdeyron. 1978. Reproductive capacities in the sexual forms of the gynodioecious species Thymus vulgaris L. Botanical Journal of the Linnean Society 77:29_39.",Lamiaceae,Thymus,vulgaris,D,,,2,1,4,1,0.7,"Assouad, M. W., B. Domm_e, R. Lumaret, and G. Valdeyron. 1978. Reproductive capacities in the sexual forms of the gynodioecious species Thymus vulgaris L. Botanical Journal of the Linnean Society 77:29_39."
1993,"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125_135",Begoniaceae,Begonia,semiovata,D,9.45,N,8,1,1,1,0.05,"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125_135; Agren, J. and D. W. Schemske. 1995. Sex allocation in the monoecious herb Begonia semiovata. Evolution, 121-130."
2004,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny_pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149_157.",Scrophulariaceae,Mimulus,nasutus,D,39.15,N,3,1,1,,0.358,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny_pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149_157."
2007,Michalski&Durka2007,Juncaceae,Juncus,atratus,M,52.7,N,6,1,4,1,0.056,
1980,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53_59,Proteaceae,Banksia,menziesii,D,32.1,S,3,3,4,,1.04,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53_59
1996,"Stewart, H. M., S. C. Stewart, and J. M. CanneHilliker. 1996. Mixed mating system in Agalinis neoscotica (Scrophulariaceae) with bud pollination and delayed pollen germination. International Journal of Plant Science 157:501_508.",Scrophulariaceae,Agalinis,neoscotica,D,44.25,N,4,1,1,1,0.469,"Stewart, H. M., S. C. Stewart, and J. M. CanneHilliker. 1996. Mixed mating system in Agalinis neoscotica (Scrophulariaceae) with bud pollination and delayed pollen germination. International Journal of Plant Science 157:501_508."
1999,"Ivey CT, Lipow SR, R Wyatt. 1999. The mating system and interfertility of swamp milkweed (Asclepias incarnata_incarnata and_pulchra). Heredity 82:25_35",Apocynaceae,Asclepias,incarnata,D,39.01,N,6,1,4,1,0.932,"Ivey CT, Lipow SR, R Wyatt. 1999. The mating system and interfertility of swamp milkweed (Asclepias incarnata_incarnata and_pulchra). Heredity 82:25_35"
1997,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.,Boraginaceae,Amsinckia,lunaris,D,37.67,N,3,1,1,0,0.44,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.
1998,"Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self_sterility and outcrossing estimations. Canadian Journal of Botany 76:37_42.",Ericaceae,Calluna,vulgaris,D,50.41,N,6,3,4,0,0.78,"Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self_sterility and outcrossing estimations. Canadian Journal of Botany 76:37_42."
1981,Krishnan R. 1981. Natural outcrossing in sweet basil Ocimum basilicum L. Industrial Perfumer 23(3/4):74_77. ,Lamiaceae,Ocimum,basilicum,D,,,,1,4,,0.667,Krishnan R. 1981. Natural outcrossing in sweet basil Ocimum basilicum L. Indian Perfumer 23(3/4):74_77. 
1981,Krishnan R. 1981. Natural outcrossing in sweet basil Ocimum basilicum L. Industrial Perfumer 23(3/4):74_77. ,Lamiaceae,Ocimum,basilicum,D,,,,1,1,,0.667,Krishnan R. 1981. Natural outcrossing in sweet basil Ocimum basilicum L. Indian Perfumer 23(3/4):74_77. 
1991,"Godt MJW, JL Hamrick. 1991. Estimates of outcrossing rates in Lathyrus latifolius populations. Genome 34:988_992",Fabaceae,Lathyrus,latifolius,D,33.92,N,2,2,4,1,0.807,"Godt MJW, JL Hamrick. 1991. Estimates of outcrossing rates in Lathyrus latifolius populations. Genome 34:988_992"
2011,SchreiterETAL2011,Scrophulariaceae,Buddleja,davidii,D,51.28,N,6,3,4,,0.93,
1995,"Gold, J. J., and J. S. Shore. 1995. Multiple paternity in Asclepias syriaca using a paired_fruit analysis. Canadian Journal of Botany 73:1212_1216.",Apocynaceae,Asclepias,syriaca,D,43.77,N,6,1,4,0,1.03,"Gold, J. J., and J. S. Shore. 1995. Multiple paternity in Asclepias syriaca using a paired_fruit analysis. Canadian Journal of Botany 73:1212_1216."
1975,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15_36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K.",Fabaceae,Medicago,polymorpha,D,,,,1,1,,0.082,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15_36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K."
1997,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.,Boraginaceae,Amsinckia,intermedia,D,39.17,N,3,1,1,0,0,Schoen et al. 1997. Evolutionary History of the Mating System in Amsinckia (Boraginaceae). Evolution 51:1090_1099.
1996,"Johnston, M. O., and D. J. Schoen. 1996. Correlated evolution of self_fertilization and inbreeding depression: An experimental study of nine populations of Amsinckia (Boraginaceae). Evolution 50:1478_1491.",Boraginaceae,Amsinckia,gloriosa,D,35.58,N,3,1,1,1,0.49,"Johnston, M. O., and D. J. Schoen. 1996. Correlated evolution of self_fertilization and inbreeding depression: An experimental study of nine populations of Amsinckia (Boraginaceae). Evolution 50:1478_1491.; Li P., and M. O. Johnston. 2010. Flower development and the evolution of self-fertilization in Amsinckia: the role of heterochrony. Evolutionary Biology, 37: 143-168."
1972,Sterk and Dijkhuizen 1972 ????,Caryophyllaceae,Spergularia,marina,D,,N,,1,1,1,0.015,Sterk and Dijkhuizen 1972 ????
1992,"Karoly, K. 1992. Pollinator limitation in the facultatively autogamous annual, Lupinus nanus (Leguminosae). American Journal of Botany 79:49_56.",Fabaceae,Lupinus,nanus_apricus,D,38.5,N,2,1,1,1,0.53,"Karoly, K. 1992. Pollinator limitation in the facultatively autogamous annual, Lupinus nanus (Leguminosae). American Journal of Botany 79:49_56."
1974,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729_738.",Fabaceae,Lupinus,polycarpus,D,,N,,1,1,1,0.01,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729_738."
2004,"Kalisz, S., D. W. Vogler, and K. M. Hanley. 2004. Context_dependent autonomous self_fertilization yields reproductive assurance and mixed mating. Nature",Plantaginaceae,Collinsia,verna,D,40.15,N,6,1,1,1,0.905,"Kalisz, S., D. W. Vogler, and K. M. Hanley. 2004. Context_dependent autonomous self_fertilization yields reproductive assurance and mixed mating. Nature"
